,LavatoryID,Description,City,Street,PostalCode,Country,Longitude,Latitude,isOwnedByWall,isHandicappedAccessible,Price,canBePayedWithCoins,canBePayedInApp,canBePayedWithNFC,hasChangingTable,LabelID,hasUrinal,address,timings,opening_hour,closing_hour,opening_hours
189,Wall_122939,"Wall CT, Waltersdorfer Chaussee",Berlin,Waltersdorfer Chaussee ggü. 5-7 (0-24 Uhr),12355,Deutschland,"13,4977403163385","52,4158088417092",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,Waltersdorfer Chaussee ggü. 5-7 ,0-24,0,24,0:00-24:00
190,Wall_122940,"Wall CT, Berkaer Str.",Berlin,Berkaer Str. vor 1 (0-24 Uhr),14199,Deutschland,"13,2904180558149","52,4757516888295",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,No,Berkaer Str. vor 1 ,0-24,0,24,0:00-24:00
191,Wall_122942,"Wall CT, Rudolfplatz, Modersohnstr.",Berlin,"Rudolfplatz, Modersohnstr. ggü. 53-55 (0-24 Uhr)",10245,Deutschland,"13,4568589044744","52,5026830728314",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,"Rudolfplatz, Modersohnstr. ggü. 53-55 ",0-24,0,24,0:00-24:00
192,Wall_122943,"Wall CT, Falckensteinstr.",Berlin,Falckensteinstr. hinter 38 (0-24 Uhr),10997,Deutschland,"13,4430254284233","52,4989927697972",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,Falckensteinstr. hinter 38 ,0-24,0,24,0:00-24:00
193,Wall_122974,"Wall CT, Oranienplatz",Berlin,Oranienplatz ggü. 1 (0-24 Uhr),10999,Deutschland,"13,4151105784254","52,5025964081577",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,Oranienplatz ggü. 1 ,0-24,0,24,0:00-24:00
194,Wall_123024,"Wall CT, Mariannenplatz",Berlin,Mariannenplatz 2-3 (0-24 Uhr),10997,Deutschland,"13,424531","52,50307",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,Mariannenplatz 2-3 ,0-24,0,24,0:00-24:00
195,Wall_123027,"Wall CT, Klixarena, Zobeltitzstr.",Berlin,"Klixarena, Zobeltitzstr. ggü. 93 (0-24 Uhr)",13403,Deutschland,"13,308729673772","52,570240401001",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,No,"Klixarena, Zobeltitzstr. ggü. 93 ",0-24,0,24,0:00-24:00
196,Wall_123029,"Wall CT, Letteplatz, Letteallee",Berlin,"Letteplatz, Letteallee ggü. 46 (0-24 Uhr)",13409,Deutschland,"13,3709050422555","52,5632981645931",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,No,"Letteplatz, Letteallee ggü. 46 ",0-24,0,24,0:00-24:00
197,Wall_123030,"Wall CT, Schäfersee, Am Schäfersee",Berlin,"Schäfersee, Am Schäfersee   (0-24 Uhr)",13407,Deutschland,"13,3586228154509","52,5634530168107",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,No,"Schäfersee, Am Schäfersee   ",0-24,0,24,0:00-24:00
198,Wall_123031,"Wall CT, Auguste-Viktoria-Allee",Berlin,Auguste-Viktoria-Allee ggü. 88 (0-24 Uhr),13403,Deutschland,"13,3238639955806","52,5700993571902",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,No,Auguste-Viktoria-Allee ggü. 88 ,0-24,0,24,0:00-24:00
