,LavatoryID,Description,City,Street,opening_hours,street_address,PostalCode,Country,Longitude,Latitude,isOwnedByWall,isHandicappedAccessible,Price,canBePayedWithCoins,canBePayedInApp,canBePayedWithNFC,hasChangingTable,LabelID,hasUrinal,ratings,Comments
443,SANIFAIR_4,"SANIFAIR, Bahnhof Berlin Friedrichstraße",Berlin,Georgenstraße 14 (6-22 Uhr),6:00-22:00,Georgenstraße 14 ,10117,Deutschland,13.38724992,52.51996653,No,No,0.5,Yes,No,No,Yes,Toilette nicht von Wall,Yes,18,
298,Wall_5330,Toilette Budapester Str.,Berlin,Breitscheidplatz (9-22 Uhr),9:00-22:00,Breitscheidplatz ,10789,Deutschland,13.3361111111111,52.5049444444444,Yes,Yes,"0,50",No,No,No,No/Unknown,WC-Center,No,18,
286,Wall_125237,"Wall CT, Afrikanische Str.",Berlin,Afrikanische Str. ggü. 92 (0-24 Uhr),0:00-24:00,Afrikanische Str. ggü. 92 ,13351,Deutschland,13.3365372138437,52.5526408835019,Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,18,
126,Wall_121088,"Wall CT, Breite Str.",Berlin,Breite Str. 35 (0-24 Uhr),0:00-24:00,Breite Str. 35 ,13187,Deutschland,13.4073465278231,52.5702539545699,Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,18,
386,Fremd_141,Toilette Flughafensee Tegel (Bernauer/Sterkraderstr.),Berlin,Flughafensee Tegel (Bernauer/Sterkraderstr.),,Flughafensee Tegel ,13507 ,Deutschland,13.28361,52.56961,No,No,"0,00",No,No,No,No/Unknown,Toilette nicht von Wall,No,16,
381,Fremd_136,Toilette Friedhof Buschkrugallee - Buschkrugallee 38,Berlin,Friedhof Buschkrugallee - Buschkrugallee 38,,Friedhof Buschkrugallee - Buschkrugallee 38,12347,Deutschland,13.4462947014778,52.460396974104,No,No,"0,00",No,No,No,No/Unknown,Toilette nicht von Wall,No,16,
450,RAIL_4,"rail & fresh WC Berlin Südkreuz Ost
",Berlin,General-Pape-Straße 1 (0-24 Uhr),0:00-24:00,General-Pape-Straße 1 ,12101,Deutschland,13.36580484,52.47616962,No,Yes,0.5,Yes,No,No,Yes,Toilette nicht von Wall,Yes,16,
379,Fremd_134,Toilette Friedhof Koppelweg - Koppelweg 10,Berlin,Friedhof Koppelweg - Koppelweg 10,,Friedhof Koppelweg - Koppelweg 10,12347 ,Deutschland,13.4318942232256,52.4450703061898,No,No,"0,00",No,No,No,No/Unknown,Toilette nicht von Wall,No,16,
378,Fremd_133,Toilette Friedhof Alt-Buckow - Alt-Buckow 39B,Berlin,Friedhof Alt-Buckow - Alt-Buckow 39B,,Friedhof Alt-Buckow - Alt-Buckow 39B,12349 ,Deutschland,13.4305749941639,52.4214775765321,No,No,"0,00",No,No,No,No/Unknown,Toilette nicht von Wall,No,16,
389,Fremd_144,Toilette Am Kiesteich 50 (Parkplatz Gr. Spektesee),Berlin,Am Kiesteich 50 (Parkplatz Gr. Spektesee),,Am Kiesteich 50 ,13589,Deutschland,13.1648593254089,52.5488398803196,No,No,"0,00",No,No,No,No/Unknown,Toilette nicht von Wall,No,16,
394,Fremd_149,Toilette Friedhof in den Kisseln,Berlin,Friedhof in den Kisseln,,Friedhof in den Kisseln,13589,Deutschland,13.1880450308507,52.5564239244338,No,No,"0,00",No,No,No,No/Unknown,Toilette nicht von Wall,No,16,
393,Fremd_148,Toilette Friedhof in den Kisseln,Berlin,Friedhof in den Kisseln,,Friedhof in den Kisseln,13589,Deutschland,13.1772427123062,52.5556295745794,No,No,"0,00",No,No,No,No/Unknown,Toilette nicht von Wall,No,16,
319,Wall_5354,Toilette Livländische Str.,Berlin,"Volkspark Wilmersdorf , Am Volkspark (7-22 Uhr)",7:00-22:00,"Volkspark Wilmersdorf , Am Volkspark ",10715,Deutschland,13.326417,52.48288,Yes,No,"0,00",No,No,No,No/Unknown,weitere ÖTs (z.B. Sanitärcontainer),No,16,
449,RAIL_3,"
rail & fresh WC Berlin Spandau",Berlin,Seegefelder Str. 1 (6-22 Uhr),6:00-22:00,Seegefelder Str. 1 ,13597,Deutschland,13.19919598,52.53465051,No,Yes,0.5,Yes,No,No,Yes,Toilette nicht von Wall,Yes,16,
372,Fremd_128,"Toilette Volkspark Rehberge, Eingang Afrikanische Straße | Ottawi Straße I Dohnagestell",Berlin,"Volkspark Rehberge, Eingang Afrikanische Straße | Ottawi Straße I Dohnagestell",,"Volkspark Rehberge, Eingang Afrikanische Straße | Ottawi Straße I Dohnagestell",13351 ,Deutschland,13.33705,52.55272,No,No,"0,00",No,No,No,No/Unknown,Toilette nicht von Wall,No,16,
401,Fremd_155,"Toilette Thuner Platz 2-4 (Friedhof), 12205 Berlin",Berlin,"Thuner Platz 2-4 (Friedhof), 12205 Berlin",,Thuner Platz 2-4 ,12205,Deutschland,13.2963370903293,52.4234425105647,No,No,"0,00",No,No,No,No/Unknown,Toilette nicht von Wall,No,16,
402,Fremd_156,"Toilette Bergstr. 38 (Friedhof), 12169 Berlin",Berlin,"Bergstr. 38 (Friedhof), 12169 Berlin",,Bergstr. 38 ,12169,Deutschland,13.3421494600363,52.4586232287516,No,No,"0,00",No,No,No,No/Unknown,Toilette nicht von Wall,No,16,
293,Wall_34520,Toilette Gutsmuthsweg (Eingang Hockey-Stadion),Berlin,Olympischer Platz 6 (bei Veranst.),,Olympischer Platz 6 ,14053,Deutschland,13.24459,52.51562,Yes,No,"0,00",No,No,No,No/Unknown,Café Achteck,No,16,
414,Fremd_167,"Toilette Friedhof Baumschulenweg,Öffentl.",Berlin,"Friedhof Baumschulenweg,Öffentl.",,"Friedhof Baumschulenweg,Öffentl.",12437,Deutschland,13.49379,52.46054,No,No,"0,00",No,No,No,No/Unknown,Toilette nicht von Wall,No,16,
295,Wall_34523,Toilette Eingang Reithalle / Tunnelweg,Berlin,Jesse-Owens-Allee vor ggü. 2 (bei Veranst.),,Jesse-Owens-Allee vor ggü. 2 ,14053,Deutschland,13.23694025,52.51064618,Yes,No,"0,00",No,No,No,No/Unknown,Café Achteck,No,16,
359,Fremd_116,Toilette Friedhof Heerstraße (an der Friedhofskapelle),Berlin,Friedhof Heerstraße (an der Friedhofskapelle),,Friedhof Heerstraße ,14053,Deutschland,13.2490780297724,52.5148825012018,No,No,"0,00",No,No,No,No/Unknown,Toilette nicht von Wall,No,16,
